url,title,description,score,get_with_query,time_fetch,is_seed
http://arxiv.org/abs/2009.08203v1,"The Origin of the Glass-like Thermal Conductivity in Crystalline
  Metal-Organic Frameworks","  It is textbookly regarded that phonons, i.e., an energy quantum of
propagating lattice waves, are the main heat carriers in perfect crystals. As a
result, in many crystals, e.g., bulk silicon, the temperature-dependent thermal
conductivity shows the classical 1/T relationship because of the dominant
Umklapp phonon-phonon scattering in the systems. However, the thermal
conductivity of many crystalline metal-organic frameworks is very low and shows
no, a weakly negative and even a weakly positive temperature dependence
(glass-like thermal conductivity). It has been in debate whether the thermal
transport can be still described by phonons in metal-organic frameworks. Here,
by studying two typical systems, i.e., crystal zeolitic imidazolate framework-4
(cZIF-4) and crystal zeolitic imidazolate framework-62 (c-ZIF62), we prove that
the ultralow thermal conductivity in metal-organic frameworks is resulting from
the strong phonon intrinsic structure scattering due to the large mass
difference and the large cavity between Zn and N atoms. Our mean free path
spectrum analysis shows that both propagating and non-propagating anharmonic
vibrational modes exist in the systems, and contribute largely to the thermal
conductivity. The corresponding weakly negative or positive temperature
dependence of the thermal conductivity is stemming from the competition between
the propagating and non-propagating anharmonic vibrational modes. Our study
here provides a fundamental understanding of thermal transport in metal-organic
frameworks and will guide the design of the thermal-related applications using
metal-organic frameworks, e.g., inflammable gas storage, chemical catalysis,
solar thermal conversion and so on.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.275880,False
http://arxiv.org/abs/2011.07088v1,"Metal-organic Frameworks: Possible New Two-Dimensional Magnetic and
  Topological materials","  Finding new two-dimensional (2D) materials with novel quantum properties is
highly desirable for technological innovations. In this work, we studied a
series of metal-organic frameworks (MOFs) with different metal cores and
discovered various attractive properties, such as room-temperature magnetic
ordering, strong perpendicular magnetic anisotropy, huge topological band gap
(>200meV), and excellent spin-filtering performance. As many MOFs have been
successfully synthesized in experiments, our results suggest realistic new 2D
functional materials for the design of spintronic nanodevices.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.276492,False
http://arxiv.org/abs/2310.12417v1,"Metadata for Scientific Experiment Reporting: A Case Study in
  Metal-Organic Frameworks","  Research methods and procedures are core aspects of the research process.
Metadata focused on these components is critical to supporting the FAIR
principles, particularly reproducibility. The research reported on in this
paper presents a methodological framework for metadata documentation supporting
the reproducibility of research producing Metal Organic Frameworks (MOFs). The
MOF case study involved natural language processing to extract key synthesis
experiment information from a corpus of research literature. Following, a
classification activity was performed by domain experts to identify
entity-relation pairs. Results include: 1) a research framework for metadata
design, 2) a metadata schema that includes nine entities and two relationships
for reporting MOF synthesis experiments, and 3) a growing database of MOF
synthesis reports structured by our metadata scheme. The metadata schema is
intended to support discovery and reproducibility of metal-organic framework
research and the FAIR principles. The paper provides background information,
identifies the research goals and objectives, research design, results, a
discussion, and the conclusion.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.276734,False
http://arxiv.org/abs/1904.09497v1,"Interplay between Defects, Disorder and Flexibility in Metal-Organic
  Frameworks","  Metal-organic frameworks are a novel family of chemically diverse materials,
which are of interest across engineering, physics, chemistry, biology, and
medicine-based disciplines. Since the development of the field in its current
form more than two decades ago, priority has been placed on the synthesis of
new structures. However, more recently, a clear trend has emerged in shifting
the emphasis from material design to exploring the chemical and physical
properties of those already known. In particular --- while such nanoporous
materials were traditionally seen as rigid crystalline structures --- there is
growing evidence that large-scale flexibility, the presence of defects and
long-range disorder, are not the exception, but rather the norm, in
metal-organic frameworks. Here we offer some perspective into how these
concepts are perhaps inescapably intertwined, highlight recent advances in our
understanding, and discuss how a consideration of the interfaces between them
may lead to enhancements of the materials' functionalities.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.276947,False
http://arxiv.org/abs/1711.01128v1,Two-dimensional band structure in honeycomb metal-organic frameworks,"  Metal-organic frameworks (MOFs) are an important class of materials that
present intriguing opportunities in the fields of sensing, gas storage,
catalysis, and optoelectronics. Very recently, two-dimensional (2D) MOFs have
been proposed as a flexible material platform for realizing exotic quantum
phases including topological and anomalous quantum Hall insulators.
Experimentally, direct synthesis of 2D MOFs has been essentially confined to
metal substrates, where the interaction with the substrate masks the intrinsic
electronic properties of the MOF. Here, we demonstrate synthesis of 2D
honeycomb metal-organic frameworks on a weakly interacting epitaxial graphene
substrate. Using low-temperature scanning tunneling microscopy (STM) and atomic
force microscopy (AFM) complemented by density-functional theory (DFT)
calculations, we show the formation of 2D band structure in the MOF decoupled
from the substrate. These results open the experimental path towards MOF-based
designer quantum materials with complex, engineered electronic structures.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277041,False
http://arxiv.org/abs/1510.04851v1,"Thermodynamics of the Oxygen Evolution Electrocatalysis in Metal-Organic
  Frameworks","  Metal-organic frameworks (MOFs) provide a versatile and tailorable material
platform that embody many desirable attributes for photocatalytic
water-splitting. The approach taken in this study was to use Density Functional
Theory (DFT) to predict the thermodynamic energy barriers of the oxygen
evolution reaction (OER) for three MOF functionalizations. A Zr-MIL-125 MOF
design was selected for this study that incorporates three linker designs, a
1,4-benzenedicarboxylate (BDC), BDC functionalized with an amino group
(BDC+NH2), and BDC functionalized with nitro group (BDC+NO2). The study found
several key differences between homogeneous planar catalyst thermodynamics and
MOF based thermodynamics, the most significant being the non-unique or
heterogeneity of reaction sites. Additionally, the funcationalization of the
MOF was found to significantly influence the hydroperoxyl binding energy, which
proves to be the largest hurdle for both oxide and MOF based catalyst. Both of
these findings provide evidance that many of the limitations precluding planar
homogeneous catalysts can be surpassed with a MOF based catalyst. While none of
the MOF designs selected for this study out-performed state-of-the-art oxide
based catalysts, the BDC+NH2 proved to be the best with a predicted
over-potential for spontaneous OER evolution to be 3.03eV.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277122,False
http://arxiv.org/abs/2011.07090v1,Electrostatic design of polar metal-organic framework thin films,"  In recent years, optical and electronic properties of metal-organic
frameworks (MOFs) have increasingly shifted into the focus of interest of the
scientific community. Here, we discuss a strategy for conveniently tuning these
properties through electrostatic design. More specifically, based on
quantum-mechanical simulations, we suggest an approach for creating a gradient
of the electrostatic potential within a MOF thin film exploiting collective
electrostatic effects. With a suitable orientation of the polar apical linkers,
the resulting non-centrosymmetric packing results in an energy staircase of the
frontier electronic states reminiscent of the situation in a pin-photodiode.
This 1-D gradient of the electrostatic potential causes a closure of the global
energy gap and also shifts core-level energies by an energy equaling the size
of the original band gap. The realization of such assemblies could be based on
so-called pillared layer MOFs, grown in an oriented fashion on a solid
substrate employing layer by layer growth techniques. In this context, the
simulations provide guidelines regarding the design of the polar apical linker
molecules that would allow the realization of MOF thin films with the (vast
majority of the) molecular dipole moments pointing in the same direction.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277254,False
http://arxiv.org/abs/1701.08572v2,Magnetodielectric coupling in a non-perovskite metal-organic framework,"  Multiferroicity and magnetodielectric coupling in metal-organic-frameworks
(MOFs) is rare and so far restricted mainly to formate-based systems with
perovskite structure. In the course of this work we designed a tetragonal
framework [Co(C16H15N5O2)], exhibiting spin-chains of Co2+ ions, which are
bridged by an organic linker containing a dipolar nitrobenzene moiety. This
compound shows relaxor-like ferroelectricity at 100 K, which is followed by the
onset of complex magnetic order at 15 K, indicative of weak ferromagnetism. The
clear anomaly of the dielectric constant at the magnetic ordering transition
indicates magnetodielectric coupling, which is also confirmed by magnetic-field
dependent dielectric measurements. Weak ferromagnetism and magnetodielectric
coupling, both probably result from a significant Dzyaloshinskii-Moriya
interaction, which cants the spin structure and locally breaks inversion
symmetry. We document that the introduction of dipolar nitrobenzene as building
block in the crystal structure paths the way to design new multiferroic and
magnetodielectric MOFs.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277352,False
http://arxiv.org/abs/2110.13503v1,A Two-Dimensional Metal-Organic Framework on Superconducting NbSe$_2$,"  The combination of two-dimensional (2D) materials into vertical
heterostructures has emerged as a promising path to designer quantum materials
with exotic properties. Here, we extend this concept from inorganic 2D
materials to 2D metal-organic frameworks (MOFs) that offer additional
flexibility in realizing designer heterostructures. We successfully fabricate a
monolayer 2D Cu-dicyanoanthracene MOF on a 2D van der Waals NbSe$_2$
superconducting substrate. The structural and electronic properties of two
different phases of the 2D MOF are characterized by low-temperature scanning
tunneling microscopy (STM) and spectroscopy (STS), complemented by
density-functional theory (DFT) calculations. These experiments allow us to
follow the formation of the kagome bandstructure from Star of David -shaped
building blocks. This work extends the synthesis and electronic tuneability of
2D MOFs beyond the electronically less relevant metal and semiconducting
surfaces to superconducting substrates, which are needed for the development of
emerging quantum materials such as topological superconductors.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277437,False
http://arxiv.org/abs/2309.05465v1,"""Toward"" Metal-Organic Framework Design by Quantum Computing","  The article summarizes the study performed in the context of the Deloitte
Quantum Climate Challenge in 2023. We present a hybrid quantum-classical method
for calculating Potential Energy Surface scans, which are essential for
designing Metal-Organic Frameworks for Direct Air Capture applications. The
primary objective of this challenge was to highlight the potential advantages
of employing quantum computing. To evaluate the performance of the model, we
conducted total energy calculations using various computing frameworks and
methods. The results demonstrate, at a small scale, the potential advantage of
quantum computing-based models. We aimed to define relevant classical computing
model references for method benchmarking. The most important benefits of using
the PISQ approach for hybrid quantum-classical computational model development
and assessment are demonstrated.
",na,"inverse design AND ""metal-organic frameworks""",2024-11-22 15:55:33.277545,False
